Shimmer_8F60	Shimmer_8F60	Shimmer_8F60	Shimmer_8F60	Shimmer_8F60	Shimmer_8F60	Shimmer_8F60	Shimmer_8F60	Shimmer_8F60	Shimmer_8F60	Shimmer_8F60	Shimmer_8F60	Shimmer_8F60	Shimmer_8F60	Shimmer_8F60	
ECG_LL-RA_24BIT	ECG_LL-RA_24BIT	System_Timestamp_Plot_Zeroed	ECG_LL-LA_24BIT	ECG_LL-LA_24BIT	Timestamp	Timestamp	ECG_Vx-RL_24BIT	ECG_Vx-RL_24BIT	ECG_LA-RA_24BIT	ECG_LA-RA_24BIT	ECG_EMG_Status1	ECG_EMG_Status1	ECG_EMG_Status2	ECG_EMG_Status2	
CAL	UNCAL	CAL	UNCAL	CAL	CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	UNCAL	CAL	UNCAL	CAL	
mV	no_units	ms	no_units	mV	ms	Ticks	mV	no_units	mV	no_units	no_units	no_units	no_units	no_units	
-605.0000721216288	-8388608.0	394.53125	-8388855.0	-605.0178861639364	116672.4853515625	3823124.0	-605.0000721216288	-8388608.0	0.017814042307620324	247.0	128.0	128.0	128.0	128.0	
-605.0000721216288	-8388608.0	398.4375	-8390474.0	-605.1346510809244	116676.3916015625	3823252.0	-605.0000721216288	-8388608.0	0.1345789592956256	1866.0	128.0	128.0	128.0	128.0	
-504.2734186975263	-6991986.0	402.34375	-6993039.0	-504.3493627726272	116680.2978515625	3823380.0	-590.7151574748942	-8190541.0	0.0759440751009077	1053.0	128.0	128.0	128.0	128.0	
-341.8757768721315	-4740267.0	406.25	-4733513.0	-341.3886673913798	116684.2041015625	3823508.0	-503.2090477000532	-6977228.0	-0.48710948075169097	-6754.0	128.0	128.0	128.0	128.0	
-302.398200320983	-4192892.0	410.15625	-4178528.0	-301.36224524524755	116688.1103515625	3823636.0	-529.3920116891875	-7340267.0	-1.035955075735459	-14364.0	128.0	128.0	128.0	128.0	
-400.28246823340277	-5550103.0	414.0625	-5537576.0	-399.37900058972843	116692.0166015625	3823764.0	-605.0000721216288	-8388608.0	-0.9034676436743312	-12527.0	128.0	128.0	128.0	128.0	
-467.74814102031485	-6485546.0	417.96875	-6481422.0	-467.4507114232435	116695.9228515625	3823892.0	-605.0000721216288	-8388608.0	-0.29742959707136124	-4124.0	128.0	128.0	128.0	128.0	
-396.49492877661334	-5497587.0	421.875	-5497584.0	-396.494712411727	116699.8291015625	3824020.0	-522.4187877677426	-7243580.0	-2.1636488632737237E-4	-3.0	128.0	128.0	128.0	128.0	
-284.5545881455646	-3945482.0	425.78125	-3942502.0	-284.33966569181274	116703.7353515625	3824148.0	-458.58443898969165	-6358487.0	-0.21492245375185656	-2980.0	128.0	128.0	128.0	128.0	
-300.99002551913566	-4173367.0	429.6875	-4167427.0	-300.56162304420747	116707.6416015625	3824276.0	-510.25021019580487	-7074857.0	-0.4284024749281973	-5940.0	128.0	128.0	128.0	128.0	
-438.77053603774743	-6083758.0	433.59375	-6083492.0	-438.75135168449305	116711.5478515625	3824404.0	-605.0000721216288	-8388608.0	-0.01918435325436035	-266.0	128.0	128.0	128.0	128.0	
-521.0756666750511	-7224957.0	437.5	-7235061.0	-521.8043836122017	116715.4541015625	3824532.0	-605.0000721216288	-8388608.0	0.7287169371505902	10104.0	128.0	128.0	128.0	128.0	
-432.2105690491878	-5992801.0	441.40625	-6007349.0	-433.259794504618	116719.3603515625	3824660.0	-517.8382710025634	-7180069.0	1.0492254554302043	14548.0	128.0	128.0	128.0	128.0	
-291.922966471072	-4047648.0	445.3125	-4056871.0	-292.58814425327114	116723.2666015625	3824788.0	-440.46431248954684	-6107243.0	0.6651777821991185	9223.0	128.0	128.0	128.0	128.0	
-265.6705493534266	-3683646.0	449.21875	-3685955.0	-265.8370781942699	116727.1728515625	3824916.0	-472.542931144587	-6552028.0	0.16652884084330094	2309.0	128.0	128.0	128.0	128.0	
-362.19114150895376	-5021949.0	453.125	-5025223.0	-362.4272677215657	116731.0791015625	3825044.0	-550.2030682805859	-7628822.0	0.23612621261193903	3274.0	128.0	128.0	128.0	128.0	
-423.54400140571613	-5872635.0	457.03125	-5882471.0	-424.2533897463548	116734.9853515625	3825172.0	-550.1018816354134	-7627419.0	0.7093883406386782	9836.0	128.0	128.0	128.0	128.0	
-327.15315606035665	-4536131.0	460.9375	-4547824.0	-327.99647426563195	116738.8916015625	3825300.0	-450.0998342156213	-6240844.0	0.8433182052753216	11693.0	128.0	128.0	128.0	128.0	
-187.4061772115442	-2598474.0	464.84375	-2603987.0	-187.80378375098513	116742.7978515625	3825428.0	-375.2842462401684	-5203491.0	0.3976065394409346	5513.0	128.0	128.0	128.0	128.0	
